10.1146/annurev-environ-041020-063132,"Wild Meat Is Still on the Menu: Progress in Wild Meat Research, Policy, and Practice from 2002 to 2020",Annual Review of Environment and Resources
10.1016/j.eist.2021.11.002,Ontological struggle over new product category: Transition potential of meat alternatives,Environmental Innovation and Societal Transitions
10.1016/j.jclepro.2022.131325,"Environmental footprints of meat, milk and egg production in Argentina",Journal of Cleaner Production
10.1016/j.jclepro.2022.132722,Can we obtain high productivity allied to environmental gains? An emergy-economic study of sheep meat production systems,Journal of Cleaner Production
10.1016/j.jclepro.2022.130593,The omnivore’s paradox and consumer acceptance of cultured meat: An experimental investigation into the role of perceived organizational competence and excitement,Journal of Cleaner Production
10.1016/j.jclepro.2021.129423,Comparative life cycle analysis of a biodegradable multilayer film and a conventional multilayer film for fresh meat modified atmosphere packaging – and effectively accounting for shelf-life,Journal of Cleaner Production
10.1093/advances/nmac089,The Effect of the Meat Factor in Animal-Source Foods on Micronutrient Absorption: A Scoping Review,Advances in Nutrition
10.1093/advances/nmac026,"Perspective: Soy-based Meat and Dairy Alternatives, Despite Classification as Ultra-processed Foods, Deliver High-quality Nutrition on Par with Unprocessed or Minimally Processed Animal-based Counterparts",Advances in Nutrition
10.1186/s12966-021-01178-9,Testing front-of-package warnings to discourage red meat consumption: a randomized experiment with US meat consumers,International Journal of Behavioral Nutrition and Physical Activity
10.1186/s12966-022-01317-w,Rebalancing meat and legume consumption: change-inducing food choice motives and associated individual characteristics in non-vegetarian adults,International Journal of Behavioral Nutrition and Physical Activity
10.1186/s12966-021-01239-z,Impact of increasing the relative availability of meat-free options on food selection: two natural field experiments and an online randomised trial,International Journal of Behavioral Nutrition and Physical Activity
10.1093/ajcn/nqab414,Replacing meat with alternative plant-based products (RE-MAP): a randomized controlled trial of a multicomponent behavioral intervention to reduce meat consumption,The American Journal of Clinical Nutrition
10.1093/ajcn/nqac143,The quest to advance assessment of dietary intake: metabolomic meat markers,The American Journal of Clinical Nutrition
10.1093/ajcn/nqac041,Meat in the human diet: in transition from evolutionary hallmark to scapegoat,The American Journal of Clinical Nutrition
10.1093/ajcn/nqab185,Meat intake and risk of mortality and graft failure in kidney transplant recipients,The American Journal of Clinical Nutrition
10.1093/ajcn/nqab367,Meat consumption and gastric cancer risk: the Japan Public Health Center–based Prospective Study,The American Journal of Clinical Nutrition
10.1093/ajcn/nqac094,Development and validation of a metabolite score for red meat intake: an observational cohort study and randomized controlled dietary intervention,The American Journal of Clinical Nutrition
10.1093/ajcn/nqaa385,"“Instead of what,” and repeated 4-year interval change regarding red meat and T2D: increasing causal inference in nutritional epidemiology through methodological advances",The American Journal of Clinical Nutrition
10.1093/ajcn/nqaa448,Associations of unprocessed and processed meat intake with mortality and cardiovascular disease in 21 countries [Prospective Urban Rural Epidemiology (PURE) Study]: a prospective cohort study,The American Journal of Clinical Nutrition
10.1093/ajcn/nqac057,"Correction to Key et al. Cancer in British vegetarians: updated analyses of 4998 incident cancers in a cohort of 32,491 meat eaters, 8612 fish eaters, 18,298 vegetarians, and 2246 vegans. Am J Clin Nutr 2014;100:378S–85S",The American Journal of Clinical Nutrition
10.1016/j.clnu.2021.12.014,"Red meat consumption, obesity, and the risk of nonalcoholic fatty liver disease among women: Evidence from mediation analysis",Clinical Nutrition
10.1016/j.clnu.2022.09.017,Nutritional issues and dietary levers during gradual meat reduction – A sequential diet optimization study to achieve progressively healthier diets,Clinical Nutrition
10.1007/s13668-021-00377-x,"Epidemiology, Molecular Mechanisms, and Clinical Trials: an Update on Research on the Association Between Red Meat Consumption and Colorectal Cancer",Current Nutrition Reports
10.3390/nu13103602,Replacement of Meat with Non-Meat Protein Sources: A Review of the Drivers and Inhibitors in Developed Countries,Nutrients
10.3390/nu14030411,Comparison of Three Dietary Assessment Methods to Estimate Meat Intake as Part of a Meat Reduction Intervention among Adults in the UK,Nutrients
10.3390/nu13093059,Pulses Twice a Week in Replacement of Meat Modestly Increases Diet Sustainability,Nutrients
10.3390/nu14051077,"Red and Processed Meat Intake, Polygenic Risk Score, and Colorectal Cancer Risk",Nutrients
10.3390/nu13124225,Nutritional Quality of Plant-Based Meat Products Available in the UK: A Cross-Sectional Survey,Nutrients
10.3390/nu14183724,"Effect of the Intake of Lean Red-Meat from Beef-(Pirenaica Breed) versus Lean White-Meat on Body Composition, Fatty Acids Profile and Cardiovascular Risk Indicators: A Randomized Cross-Over Study in Healthy Young Adults",Nutrients
10.3390/nu14193903,Nutritional Composition and Estimated Iron and Zinc Bioavailability of Meat Substitutes Available on the Swedish Market,Nutrients
10.3390/nu14183853,Towards Environmentally Sustainable Diets: Consumer Attitudes and Purchase Intentions for Plant-Based Meat Alternatives in Taiwan,Nutrients
10.3390/nu14010029,Nutrient Intake and Status in Adults Consuming Plant-Based Diets Compared to Meat-Eaters: A Systematic Review,Nutrients
10.3390/nu14050978,"Plasma Metabolite Profiles of Red Meat, Poultry, and Fish Consumption, and Their Associations with Colorectal Cancer Risk",Nutrients
10.3390/nu13103303,Intake of Unprocessed and Processed Meat and the Association with Cardiovascular Disease: An Overview of Systematic Reviews,Nutrients
10.3390/nu13124555,Effectiveness of a Theory-Informed Documentary to Reduce Consumption of Meat and Animal Products: Three Randomized Controlled Experiments,Nutrients
10.3390/nu14061174,Comparison of Plate Waste between Vegetarian and Meat-Containing Meals in a Hospital Setting: Environmental and Nutritional Considerations,Nutrients
10.3390/nu14091956,"Associations between Meat and Vegetable Intake, Cooking Methods, and Asthenozoospermia: A Hospital-Based Case–Control Study in China",Nutrients
10.3390/nu14091969,Poultry Meat and Eggs as an Alternative Source of n-3 Long-Chain Polyunsaturated Fatty Acids for Human Nutrition,Nutrients
10.3390/nu14173533,High Meat Consumption Is Prospectively Associated with the Risk of Non-Alcoholic Fatty Liver Disease and Presumed Significant Fibrosis,Nutrients
10.3390/nu13103601,Processed Meat Consumption and the Risk of Cancer: A Critical Evaluation of the Constraints of Current Evidence from Epidemiological Studies,Nutrients
10.3390/nu13124567,Amino Acids and Lipids Associated with Long-Term and Short-Term Red Meat Consumption in the Chinese Population: An Untargeted Metabolomics Study,Nutrients
