"Field","Rank","Issn","Title","Type","Scimagojr ID","SJR","SJR Quartile","H index","Total Docs. (2021)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Country","Region","Publisher","Coverage","Categories"
"Environment",1,"17586798, 1758678X","Nature Climate Change","journal",21100198409,6134,"Q1",211,261,834,8747,12000,401,"12,91","33,51","United Kingdom","Western Europe","Nature Publishing Group","2011-2021","Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
"Environment",2,"15452050, 15435938","Annual Review of Environment and Resources","book series",28800,4657,"Q1",124,26,56,4078,888,54,"16,63","156,85","United States","Northern America","Annual Reviews Inc.","2003-2020","Environmental Science (miscellaneous) (Q1)"
"Environment",3,"18733883, 09263373","Applied Catalysis B: Environmental","journal",16343,4466,"Q1",274,1096,3195,64562,65832,3191,"21,41","58,91","Netherlands","Western Europe","Elsevier","1992-2022","Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
"Environment",4,"25750348, 25750356","Energy and Environmental Materials","journal",21101030209,3694,"Q1",27,129,85,9162,1387,83,"17,05","71,02","United States","Northern America","John Wiley &amp; Sons Inc.","2018-2021","Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
"Environment",5,"13652486, 13541013","Global Change Biology","journal",15131,3685,"Q1",272,497,1382,39813,16279,1300,"11,59","80,11","United Kingdom","Western Europe","Wiley-Blackwell Publishing Ltd","1995-2021","Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
"Environment",6,"18736750, 01604120","Environment international","journal",20912,2757,"Q1",210,674,2342,48021,28317,2304,"12,25","71,25","United Kingdom","Western Europe","Elsevier Ltd.","1976-2022","Environmental Science (miscellaneous) (Q1)"
"Environment",7,23284277,"Earth's Future","journal",21100403190,2624,"Q1",50,169,330,12812,2901,299,"8,33","75,81","United States","Northern America","John Wiley &amp; Sons Inc.","2014-2021","Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
"Environment",8,22104224,"Environmental Innovation and Societal Transitions","journal",19700201681,2573,"Q1",59,100,225,7093,2021,219,"8,36","70,93","Netherlands","Western Europe","Elsevier BV","2011-2021","Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)"
"Environment",9,"02637758, 14723433","Environment and Planning D: Society and Space","journal",13274,2571,"Q1",111,72,190,4391,1203,180,"5,42","60,99","United Kingdom","Western Europe","SAGE Publications Inc.","1983-2021","Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
"Environment",10,"08866236, 19449224","Global Biogeochemical Cycles","journal",21848,2194,"Q1",196,131,326,11468,2038,319,"5,96","87,54","United States","Northern America","Wiley-Blackwell","1987-2021","Atmospheric Science (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
